iter	RMSE
0	23568.57035
1	22377.36444
2	21263.00774
3	20367.90902
4	19515.52348
5	18818.88462
6	18176.27126
7	17653.60936
8	17220.09064
9	16816.43137
10	16447.01335
11	16085.76556
12	15783.40902
13	15512.75009
14	15277.43967
15	15064.48184
16	14845.58719
17	14654.0975
18	14495.77082
19	14297.68232
20	14145.34119
21	13974.11299
22	13848.07009
23	13708.9771
24	13586.89592
25	13492.71276
26	13384.89097
27	13279.29962
28	13190.12739
29	13102.37349
30	13022.08946
31	12950.45296
32	12877.75346
33	12801.80113
34	12731.77233
35	12666.72498
36	12603.32278
37	12544.77461
38	12489.611
39	12433.44382
40	12368.75769
41	12318.72991
42	12268.92748
43	12223.94313
44	12176.99337
45	12130.16397
46	12084.16877
47	12041.91928
48	12001.45445
49	11961.07731
50	11930.22591
51	11887.3042
52	11854.39481
53	11821.48071
54	11787.13881
55	11753.57556
56	11716.72249
57	11678.10879
58	11648.81908
59	11630.25346
60	11595.90839
61	11559.47371
62	11527.6586
63	11498.45547
64	11470.74316
65	11438.84925
66	11405.79711
67	11376.4832
68	11347.29281
69	11317.02541
70	11288.81272
71	11259.73358
72	11237.17351
73	11208.30389
74	11190.8426
75	11164.53686
76	11142.44983
77	11120.42926
78	11092.79368
79	11066.74828
80	11044.46136
81	11024.61356
82	11000.38797
83	10974.94688
84	10949.88818
85	10927.13263
86	10903.57185
87	10881.3377
88	10856.33971
89	10833.74224
90	10809.11361
91	10785.06474
92	10765.83994
93	10743.87472
94	10732.63412
95	10711.44945
96	10694.74175
97	10670.31373
98	10651.50049
99	10628.51423
