iter	Passed	Remaining
0	16	1625
1	31	1530
2	45	1479
3	59	1417
4	76	1456
5	93	1458
6	108	1437
7	118	1360
8	135	1370
9	148	1337
10	166	1350
11	181	1332
12	195	1308
13	211	1297
14	227	1288
15	241	1270
16	258	1262
17	274	1248
18	286	1223
19	303	1213
20	315	1187
21	331	1175
22	347	1163
23	364	1154
24	379	1137
25	394	1123
26	409	1107
27	423	1089
28	440	1078
29	457	1067
30	471	1049
31	483	1028
32	499	1013
33	511	992
34	529	982
35	543	965
36	558	951
37	572	934
38	585	916
39	597	896
40	611	879
41	624	862
42	647	858
43	664	845
44	686	838
45	701	823
46	717	809
47	734	795
48	750	780
49	768	768
50	783	752
51	799	738
52	812	720
53	824	702
54	839	686
55	852	670
56	868	655
57	885	641
58	900	625
59	914	609
60	927	592
61	941	576
62	955	560
63	970	545
64	983	529
65	1001	515
66	1015	500
67	1031	485
68	1044	469
69	1060	454
70	1075	439
71	1090	424
72	1104	408
73	1115	391
74	1153	384
75	1170	369
76	1183	353
77	1196	337
78	1210	321
79	1228	307
80	1243	291
81	1258	276
82	1277	261
83	1303	248
84	1323	233
85	1341	218
86	1356	202
87	1374	187
88	1391	171
89	1408	156
90	1423	140
91	1440	125
92	1465	110
93	1481	94
94	1499	78
95	1515	63
96	1536	47
97	1553	31
98	1571	15
99	1586	0
